,isNews,otherWebsiteLink,href,follow_allowed,isFileLink,isBaseOnly,containsNOfollowKeyword,rel,title,urlLength,titleLength,nOfDdigits,nOfForwardSlash,nOfDot,nOfEqual,nOfHash
449,True,False,https://www.f5haber.com/go/60b0957071abf9392d2195e3?site=hurriyet&ref=headline-right,True,False,False,False,,"Anadolu Efes, Euroleague Final-Four'da ilk maçına çıkıyor! CSKA Moskova karşısında iddaa oranı...",84,97,0,4,2,2,0
456,True,False,https://www.turkish.shafaqna.com/TR/AL/5891975,True,False,False,False,,,46,0,0,5,3,0,0
460,True,False,https://www.haberler.com/saglik-calisani-mektup-birakip-enjektorle-ilac-14160424-haberi/,True,False,False,False,,"Damardan ilaç alarak intihar eden sağlık çalışanı, ardında bir de mektup bıraktı: Yaşamayı beceremedim",88,102,0,4,2,0,0
462,True,False,https://www.sondakika.com/haber/haber-basarili-oyuncu-arzum-onan-imaj-degistirdi-14161903/,True,False,False,False,,"Başarılı oyuncu Arzum Onan, imaj değiştirdi Kısacık saçlarıyla Instagram’ı salladı",90,82,0,5,2,0,0
464,True,False,https://www.f5haber.com/go/60b098843ad8613ccd150d68?site=gaste24&ref=headline-right,True,False,False,False,,İBB'de hayali konserlere milyonluk ücret,83,40,0,4,2,2,0
473,True,False,https://www.turkish.shafaqna.com/TR/AL/5891974,True,False,False,False,,,46,0,0,5,3,0,0
478,True,False,https://www.haberler.com/aksener-den-erdogan-in-kendisi-icin-kullandigi-14162112-haberi/,True,False,False,False,,"Akşener'den Erdoğan'ın kendisi için kullandığı ""Gelin hanım"" ifadesine yanıt: Benim de kayınbirader demem lazım",88,111,0,4,2,0,0
481,True,False,https://www.sondakika.com/haber/haber-normallesme-surecinde-1-haziran-sonrasi-icin-14161896/,True,False,False,False,,Normalleşme sürecinde 1 Haziran sonrası için taslak planı ortaya çıktı,92,70,1,5,2,0,0
483,True,False,https://www.f5haber.com/go/60b09535cff2c9252a3bd248?site=posta&ref=headline-right,True,False,False,False,,"KPSS başvuruları başladı mı? KPSS ücreti ne kadar, hangi bankaya yatacak?",81,73,0,4,2,2,0
491,True,False,https://www.turkish.shafaqna.com/TR/AL/5891973,True,False,False,False,,,46,0,0,5,3,0,0
493,True,False,https://www.turkish.shafaqna.com/TR/AL/5891972,True,False,False,False,,,46,0,0,5,3,0,0
497,True,False,https://www.haberler.com/erkek-arkadasinin-evinde-4-uncu-kattan-dusen-derya-14161757-haberi/,True,False,False,False,,Sevgilisinin evinin 4'üncü katından düşen Derya olayın iç yüzünü anlattı: Kimse tarafından itilmedim,92,100,1,4,2,0,0
500,True,False,https://www.sondakika.com/haber/haber-erkek-arkadasinin-evinde-4-uncu-kattan-dusen-derya-14161757/,True,False,False,False,,Sevgilisinin evinin 4’üncü katından düşen Derya olayın iç yüzünü anlattı: Kimse tarafından itilmedim,98,100,1,5,2,0,0
502,True,False,https://www.f5haber.com/ekonomi/bakan-elvan-salginin-basindan-bugune-kadar-merkezi-yonetim-butcesinden-79-milyar-liralik-harcama-yaptik-5939420,True,False,False,False,,Bakan Elvan: Salgının başından bugüne kadar merkezi yönetim bütçesinden 79 milyar liralık harcama yaptık,143,104,2,4,2,0,0
512,True,False,https://www.turkish.shafaqna.com/TR/AL/5891971,True,False,False,False,,,46,0,0,5,3,0,0
513,True,False,https://www.posta.com.tr/erkekler-iliskilerini-neden-gizler-haber-fotograf-2329623,True,False,False,False,,,82,0,0,3,3,0,0
514,True,False,https://www.posta.com.tr/rihanna-ve-megan-fox-formunu-ona-borclu-unlulerin-zayiflatan-icecegi-haber-fotograf-2332427,True,False,False,False,,,116,0,0,3,3,0,0
515,True,False,https://www.haberler.com/photshop-un-son-kurbani-aynadaki-yuzu-ele-verdi-14161673-haberi/,True,False,False,False,,Daha önceki photoshop kazalarını unutun! Dansöz Asena resmen yüzünü değiştirdi,89,78,0,4,2,0,0
518,True,False,https://www.sondakika.com/haber/haber-altin-522-5-lira-ile-son-7-ayin-en-yuksek-14162301/,True,False,False,False,,"Altın 522,5 lira ile son 7 ayın en yüksek seviyesinde",89,53,5,5,2,0,0
520,True,False,https://www.f5haber.com/siyaset/ak-partili-turan-genel-kanaatimiz-secim-barajinin-indirilmesi-yonunde-5939415,True,False,False,False,,AK Partili Turan: Genel kanaatimiz seçim barajının indirilmesi yönünde,109,70,0,4,2,0,0
528,True,False,https://www.turkish.shafaqna.com/TR/AL/5891970,True,False,False,False,,,46,0,0,5,3,0,0
530,True,False,https://www.posta.com.tr/dogru-partner-secimi-nasil-olmali-2333572,True,False,False,False,,,66,0,0,3,3,0,0
531,True,False,https://www.posta.com.tr/yuzunuzdeki-sivilceler-sagliginizi-ele-veriyor-haber-fotograf-2334237,True,False,False,False,,,94,0,0,3,3,0,0
532,True,False,https://www.posta.com.tr/iliskiye-girmeden-duramiyor-130-erkekle-haber-fotograf-2334227,True,False,False,False,,,87,0,0,3,3,0,0
533,True,False,https://www.haberler.com/kayseri-deki-silahli-saldirida-baba-ve-oglu-14161998-haberi/,True,False,False,False,,Akraba kavgası kanlı bitti! Kurşunların hedefi olan baba ile oğul hayata tutunamadı,85,83,0,4,2,0,0
536,True,False,https://www.sondakika.com/haber/haber-oyuncu-ece-hakim-harvard-universitesi-nden-mezun-14162299/,True,False,False,False,,"Oyuncu Ece Hakim, Harvard Üniversitesi’nden mezun oldu",96,54,0,5,2,0,0
538,True,False,https://www.f5haber.com/medya/hurriyet-yazari-abdulkadir-selvi-2023-seciminde-hdpnin-egiliminin-etkili-olacagina-inaniyorum-5939407,True,False,False,False,,Hürriyet yazarı Abdulkadir Selvi: 2023 seçiminde HDP’nin eğiliminin etkili olacağına inanıyorum,131,95,4,4,2,0,0
543,True,False,http://www.gazetevatan.com/araba-sahibi-olan-herkesi-kapsiyor-sigorta-kapsami-disinda-tutul-1393284-gundem/,True,False,False,False,,Araba sahibi olan herkesi kapsıyor! Sigorta kapsamı dışında tutulacak,107,69,0,4,2,0,0
544,True,False,http://www.gazetevatan.com/erkek-arkadasinin-evinin-terasindan-dusmustu-gizem-cozuldu-1393302-yasam/,True,False,False,False,,Erkek arkadaşının evinin terasından düşmüştü! Gizem çözüldü,100,59,0,4,2,0,0
545,True,False,https://www.turkish.shafaqna.com/TR/AL/5891968,True,False,False,False,,,46,0,0,5,3,0,0
546,True,False,https://www.posta.com.tr/cikolata-kisti-kansere-yol-acar-mi-2333936,True,False,False,False,,,67,0,0,3,3,0,0
547,True,False,https://www.posta.com.tr/ergenlikte-ciddi-motivasyon-kaybi-gorulebiliyor-2333946,True,False,False,False,,,80,0,0,3,3,0,0
548,True,False,https://www.haberler.com/minili-pozu-begeni-butonunu-cokermisti-pinar-14161431-haberi/,True,False,False,False,,"Minili pozu beğeni butonunu çökerten Pınar Altuğ, bu sefer de spor yaptığı anları paylaştı",86,90,0,4,2,0,0
552,True,False,https://www.sondakika.com/haber/haber-sedat-peker-iddialarinin-ardindan-gundeme-gelen-14162275/,True,False,False,False,,Sedat Peker iddialarının ardından gündeme gelen Emniyet Genel Müdür Yardımcısı Çalışkan: Beni nasıl açığa alacaklar bir görelim bakalım,95,135,0,5,2,0,0
554,True,False,https://www.f5haber.com/meteoroloji-uyardi-hafta-boyunca-yagis-var-fotogaleri-5939368,True,False,False,False,,Meteoroloji uyardı: Hafta boyunca yağış var,85,43,0,3,2,0,0
561,True,False,http://www.gazetevatan.com/secim-baraji-yuzde-7-e-iniyor-ak-parti-dugmeye-basti-1393265-gundem/,True,False,False,False,,Seçim barajı yüzde 5'e iniyor! AK Parti düğmeye bastı,95,53,1,4,2,0,0
562,True,False,http://www.gazetevatan.com/kredi-ve-kredi-karti-borcu-olan-milyonlari-ilgilendiriyor-faiz-y-1393049-ekonomi-galeri-haber/,True,False,False,False,,Kredi ve kredi kartı borcu olan milyonları ilgilendiriyor! Faiz yükü artık...,121,77,0,4,2,0,0
564,True,False,https://www.turkish.shafaqna.com/TR/AL/5891967,True,False,False,False,,,46,0,0,5,3,0,0
566,True,False,https://www.posta.com.tr/suyu-dokme-oyun-2333870,True,False,False,False,,,48,0,0,3,3,0,0
567,True,False,https://www.posta.com.tr/cicekli-kitap-ayraci-nasil-yapilir-oyun-etkinlik-2333868,True,False,False,False,,,81,0,0,3,3,0,0
568,True,False,https://www.haberler.com/imajini-degistiren-basarili-oyuncu-arzum-onan-14161843-haberi/,True,False,False,False,,"İmajını değiştiren başarılı oyuncu Arzum Onan, saçlarını kısacık kestirdi",87,73,0,4,2,0,0
571,True,False,https://www.sondakika.com/haber/haber-iki-kadinin-katil-zanlisinin-babasinin-da-kadin-14162252/,True,False,False,False,,İki kadının katil zanlısının babasının da kadın katili olduğu ortaya çıktı,95,74,0,5,2,0,0
573,True,False,https://www.f5haber.com/saglik/bakan-varank-duyurdu-yerli-asi-icin-gonullu-araniyor-5939342,True,False,False,False,,Bakan Varank duyurdu: Yerli aşı için gönüllü aranıyor,91,53,0,4,2,0,0
581,True,False,https://www.turkish.shafaqna.com/TR/AL/5891966,True,False,False,False,,,46,0,0,5,3,0,0
583,True,False,https://www.posta.com.tr/bebek-arabasiyla-gezdirdigi-felcli-kopek-kok-hucre-nakli-ile-yurudu-haber-fotograf-2333956,True,False,False,False,,,115,0,0,3,3,0,0
584,True,False,https://www.posta.com.tr/bahar-mevsiminde-bitki-bakiminin-puf-noktalari-2333634,True,False,False,False,,,79,0,0,3,3,0,0
585,True,False,https://www.posta.com.tr/gul-suyu-nasil-yapilir-evde-dogal-gul-suyu-yapimi-2283377,True,False,False,False,,,82,0,0,3,3,0,0
586,True,False,https://www.haberler.com/mucize-doktor-64-bolumuyle-ekrana-veda-etti-14161834-haberi/,True,False,False,False,,Mucize Doktor 64. bölümüyle final yaptı! Başrol oyuncusu Taner Ölmez'in vedası duygulandırdı,85,92,2,4,2,0,0
589,True,False,https://www.sondakika.com/haber/haber-son-dakika-daha-once-bu-rakamlar-gorulmedi-14162244/,True,False,False,False,,"Son dakika: Daha önce bu rakamlar görülmedi Dolar 8,5995, euro 8,47",90,67,8,5,2,0,0
591,True,False,https://www.f5haber.com/yeni-ford-focus-fiyatlari-inanilir-gibi-degil-guncel-liste-cok-baska-fotogaleri-5939072,True,False,False,False,,Yeni Ford Focus fiyatları inanılır gibi değil; Güncel liste çok başka,111,69,0,3,2,0,0
596,True,False,https://www.borsagundem.com/haber/unlu-yatirim-uzmanindan-ethereum-icin-yukselis-tahmini/1574449,True,False,False,False,,Ünlü yatırım uzmanından Ethereum için yükseliş tahmini,96,54,0,5,2,0,0
601,True,False,https://www.posta.com.tr/yazarlar/ozgur-gokmen-celenk/varis-coraplari-varisin-hangi-evresinde-kullanilmali-2334242,True,False,False,False,,,114,0,0,5,3,0,0
602,True,False,https://www.posta.com.tr/yazarlar/dr-haydar-dumen/filmler-renk-katabilir-ama-2334193,True,False,False,False,,,84,0,0,5,3,0,0
603,True,False,https://www.haberler.com/gogsumuzu-kabartti-oyuncu-ece-hakim-harvard-14162224-haberi/,True,False,False,False,,"Göğsümüzü kabarttı! Oyuncu Ece Hakim, Harvard Üniversitesi'nden mezun oldu",85,74,0,4,2,0,0
607,True,False,https://www.sondakika.com/haber/haber-diyarbakir-da-iki-kuyuda-petrol-bulunmasi-sevinc-14161408/,True,False,False,False,,Arpa ektikleri yerden petrol fışkırdı İşte Cumhurbaşkanı Erdoğan’ın bahsettiği o kuyu,96,85,0,5,2,0,0
609,True,False,https://www.f5haber.com/son-yaz-dizisinde-ali-atay-depremi-yasaniyor-senaristlerin-hamlesi-merak-ediliyor-fotogaleri-5939076,True,False,False,False,,Son Yaz dizisinde Ali Atay depremi yaşanıyor; Senaristlerin hamlesi merak ediliyor,124,82,0,3,2,0,0
613,True,False,https://www.finansgundem.com/haber/bankacilik-sektoru-guclu-gorunumunu-koruyor/1574445,True,False,False,False,,TCMB: Sıkı parasal duruş önemli bir tampon,44,42,0,4,2,0,0
616,True,False,https://www.turkish.shafaqna.com/TR/AL/5891964,True,False,False,False,,,46,0,0,5,3,0,0
618,True,False,https://www.turkish.shafaqna.com/TR/AL/5891963,True,False,False,False,,,46,0,0,5,3,0,0
619,True,False,https://www.posta.com.tr/yazarlar/filiz-ozkol/28-mayis-2021-gunun-burc-yorumlari-2334192,True,False,False,False,,,88,0,0,5,3,0,0
620,True,False,https://www.posta.com.tr/yazarlar/dr-ali-gursoy/asi-yaptirsaniz-da-duzenli-kontrol-sart-2334189,True,False,False,False,,,95,0,0,5,3,0,0
622,True,False,https://www.haberler.com/servetine-servet-ekleyen-aleyna-tilki-600-bin-tl-14162146-haberi/,True,False,False,False,,"Servetine servet katan Aleyna Tilki, binlerce liralık reklam anlaşmasına imza attı",90,82,0,4,2,0,0
626,True,False,https://www.sondakika.com/haber/haber-aleyna-tilki-servetine-servet-katti-yeni-reklam-14162176/,True,False,False,False,,"Aleyna Tilki, servetine servet kattı Yeni reklam anlaşması 600 bin TL’lik",95,73,3,5,2,0,0
628,True,False,https://www.f5haber.com/turkiyenin-asi-takvimi-guncellendi-1-haziranda-basliyor-fotogaleri-5939278,True,False,False,False,,Türkiye'nin aşı takvimi güncellendi: 1 Haziran'da başlıyor,98,58,1,3,2,0,0
629,True,False,https://www.borsagundem.com/haber/elvan-hedefimiz-dolarizasyonu-tersine-cevirmek/1574440,True,False,False,False,,Elvan: Hedefimiz dolarizasyonu tersine çevirmek,88,47,0,5,2,0,0
633,True,False,https://www.turkish.shafaqna.com/TR/AL/5891962,True,False,False,False,,,46,0,0,5,3,0,0
635,True,False,https://www.posta.com.tr/iste-necip-uysalin-gelecek-plani-futbolu-biraktiktan-sonra-2334262,True,False,False,False,,,91,0,0,3,3,0,0
636,True,False,https://www.posta.com.tr/merkez-bankasi-baskanindan-kararlilik-mesaji-2334260,True,False,False,False,,,77,0,0,3,3,0,0
637,True,False,https://www.posta.com.tr/uzman-isimden-kritik-koronavirus-aciklamasi-vakalarin-yuzde-10unda-goruluyor-2334248,True,False,False,False,,,109,0,0,3,3,0,0
638,True,False,https://www.haberler.com/fotogaleri/kylie-bildigimiz-gibi-bir-avuc-bikinisiyle/,True,False,False,False,,Kylie bildiğimiz gibi! Bir avuç bikinisiyle Instagram'ı kasıp kavurdu,79,69,0,5,2,0,0
641,True,False,https://www.sondakika.com/haber/haber-ihracat-nisan-ayinda-yuzde-109-2-artti-14162160/,True,False,False,False,,"İhracat nisan ayında yüzde 109,2 arttı",86,38,4,5,2,0,0
643,True,False,https://www.f5haber.com/bilim-kurulu-uyesi-acikladi-maskelere-ne-zaman-veda-edecegiz-fotogaleri-5939232,True,False,False,False,,Bilim Kurulu üyesi açıkladı: Maskelere ne zaman veda edeceğiz?,103,62,0,3,2,0,0
644,True,False,https://www.borsagundem.com/redirect/1574439,True,False,False,False,,Merkez Bankası'ndan kararlılık vurgusu,44,38,0,4,2,0,0
647,True,False,https://www.turkish.shafaqna.com/TR/AL/5891961,True,False,False,False,,,46,0,0,5,3,0,0
648,True,False,https://www.posta.com.tr/gaziantepte-akilalmaz-olay-tarihi-evlerin-kapilarina-duvar-orduler-2334246,True,False,False,False,,,99,0,0,3,3,0,0
649,True,False,https://www.posta.com.tr/ankarada-feto-sorusturmasinda-22-gozalti-karari-2334244,True,False,False,False,,,80,0,0,3,3,0,0
650,True,False,https://www.haberler.com/fahriye-evcen-den-karizmatik-pozunu-paylasan-14162027-haberi/,True,False,False,False,,Yorumları herkesi gülümsetti! Burak'ın karizmatik pozunu gören Fahriye dayanamadı,86,81,0,4,2,0,0
653,True,False,https://www.sondakika.com/haber/haber-bagdaki-kopek-ile-dev-yilan-kapisti-o-anlar-14162157/,True,False,False,False,,Bağdaki köpek ile dev yılan kapıştı O anlar saniye saniye kaydedildi,91,68,0,5,2,0,0
655,True,False,https://www.f5haber.com/gundem/diyanet-isleri-baskan-yardimcisi-cocuk-evlilikleri-hicbir-sekilde-kabul-edilemez-5939275,True,False,False,False,,Diyanet İşleri Başkan Yardımcısı: Çocuk evlilikleri hiçbir şekilde kabul edilemez,119,81,0,4,2,0,0
656,True,False,https://www.finansgundem.com/haber/dolar-zirve-yapti-borsa-dusuyor/1574431,True,False,False,False,,"Dolar zirve yaptı, borsa düşüyor",44,32,0,4,2,0,0
658,True,False,http://www.gazetevatan.com/petrol-mujdesi-bakan-donmez-tarih-verdi-1393308-ekonomi/,True,False,False,False,,,83,0,0,4,2,0,0
660,True,False,https://www.posta.com.tr/izmirde-hastane-onunde-dehset-anlari-motosikletten-ates-acti-3u-agir-5-kisi-yarali-2334241,True,False,False,False,,,115,0,0,3,3,0,0
661,True,False,https://www.posta.com.tr/galatasarayda-ayrilik-krizi-2334238,True,False,False,False,,,60,0,0,3,3,0,0
662,True,False,https://www.haberler.com/ilker-kaleli-ile-ask-yasayan-sila-039-dan-sasirtan-14161256-haberi/,True,False,False,False,,"Sıla, dostu Sinem Kobal'ı tek kalemde sildi! Sebebi ise İlker Kaleli",92,68,0,4,2,0,0
